Article Title,Article Abstract,Publication Year,Publication Month,Publication Day
Photoelectrochemical sensor for the detection of Escherichia coli O157:H7 based on TPA-NO<sub>2</sub> and dual-functional polythiophene films.,"The detection of Escherichia coli (E. coli) is of great significance for the environment and human health. Herein, a photoelectrochemical (PEC) detection strategy based on molecularly imprinted polymers (MIPs) was proposed for the sensitive detection of E. coli. 4,4',4″-Trinitrotriphenylamine (TPA-NO<sub>2</sub>) was prepared using a simple nitration reaction. Subsequently, MIP films were polymerized on the surface of TPA-NO<sub>2</sub> using 1,3-dihydrothieno[3,2-d]pyrimidine-2,4-dione as the functional monomer with the dual functions of specific recognition and sensitization. The linear range was 10-10<sup>8</sup> CFU/mL and the limit of detection was 10 CFU/mL. It showed favorable recoveries in real sample tests of milk, orange juice and tomato. Additionally, the ability of functional monomers to bind excellently with E. coli was verified using molecular docking techniques. This research provided broader possibilities for constructing MIPs-PEC sensors and analyzing the interaction mechanism between E. coli and functional monomers.",2023,12,30
[One-way membrane decompression for vital pulp therapy in irreversible pulpitis: a case report].,"Irreversible pulpitis is characterized by inflammation of the pulp, leading to secondary interstitial hypertension and blood circulation disorders. This study explores the development of one-way membrane decompression to alleviate interstitial hypertension in the inflamed pulp and prevent the invasion of oral microorganisms into the pulp tissue. Additionally, this technique aims to improve the microcirculation of the pulp tissue by consistently reducing the pressure within the pulp cavity. Once the inflamed pulp tissue is restored, permanent crown filling can be performed. In this paper, we present a case study involving a patient with irreversible pulpitis who underwent vital pulp treatment using the one-way decompressed membrane. A four-year follow-up evaluation revealed satisfactory outcomes.",2023,12,29
Use of a stent-retriever for treatment of iatrogenic vasospasm secondary to mechanical thrombectomy.,"The treatment strategy for iatrogenic intracranial vasospasm has not been established. We reported a rare case of stent-retriever use for the treatment of iatrogenic vasospasm after mechanical thrombectomy. The patient presented acute ischemic stroke due to the occlusion of the left middle cerebral artery (MCA). The patient underwent a successfully mechanical thrombectomy, however, severe stenosis was visualized in MCA, which was considered to be an iatrogenic mechanical vasospasm. This vasospasm was successfully treated with the Solitaire stent device, and the patient recovered from ischemic symptoms. A stent-retriever is a safe and effective treatment for iatrogenic vasospasm after mechanical thrombectomy.",2023,12,30
A near-infrared aggregation-induced emission photosensitizer targeting mitochondria for depleting Cu<sup>2+</sup> to trigger light-activated cancer cells oncosis.,"Abnormally high levels of copper in tumors stimulate malignant proliferation and migration of cancer cells, which proposes a formidable challenge for the thorough therapy of malignant tumors. In this work, we developed a reliable, mitochondria-targeted near-infrared aggregation-induced emission fluorescent probe, TTQ-Th, whose thiourea moiety specifically could recognize mitochondria even both upon loss of mitochondrial membrane potential or in fixated cells, and can capture copper overexpressed by tumor cells, leading to severe copper deficiency. In parallel, TTQ-Th can generate sufficient reactive oxygen species (ROS) upon photoexcitation, while copper deficiency inhibits expression of related copper-based enzymes, resulting in a decline in ATP production. Such energy deficiency, combined with reduced MMP and elevated oxidative stress can lead to critical cell oncosis. Both in vitro and intracellular experiments can illustrate that the elevated ROS has remarkable damage to tumor cells and contributes to the elimination of the primary tumor, while copper deficiency further hinder tumor cell migration and induces G0/G1 cell cycle arrest in a dose-dependent manner, which is an efficacious strategy for the treatment of malignant tumors.",2023,12,10
Synthesis of fluorescent carbon dots by B/P doping and application for Co<sup>2+</sup> and methylene blue detection.,"During the synthesis of carbon dots, different heteroatom doping can change the fluorescence color and the emission wavelength when the same precursor is applied. In this study, we used o-phenylenediamine and L-lysine as raw materials, boric acid or phosphoric acid as different heteroatom dopants, and water as solvent to synthesize doped carbon dots through a simple microwave-assisted method. Finally, two kinds of doped carbon dots with different fluorescence colors under 365 nm UV light were obtained, of which the B-doped carbon dots (B-CDs) showed orange fluorescence, and the P-doped carbon dots (P-CDs) showed red fluorescence. Both carbon dots had satisfactory fluorescence quantum yields and can be used as fluorescence probes. Therefore, we investigated the detection performance of these two carbon dots when they were used as fluorescent probes. B-CDs can selectively detect Co<sup>2+</sup> with a detection limit of 0.1102 μM, and at the same time, it can realize the naked eye detection of Co<sup>2+</sup> in a certain concentration range. The P-CDs could sensitively detect methylene blue with a detection limit of 0.048 μM.",2023,12,30
"Analysis of the spatial distribution of the landslides triggered by the 1923 Great Kanto Earthquake, Japan.","The Great Kanto Earthquake that occurred in the southern part of Kanto district, Japan, on September 1, 1923, was reported to have triggered numerous landslides (over 89,080 slope failures over an area of 86.32 km<sup>2</sup>). This study investigated the relationship between the landslide occurrence caused by this earthquake and geomorphology, geology, soil, seismic ground motion, and coseismic deformation. We found that a higher landslide density was mainly related to a larger absolute curvature and a higher slope angle, as well as to several geological units (Neogene plutonic rock, accretionary prism, and metamorphic rocks). Moreover, we performed decision tree analyses, which showed that slope angle, geology, and coseismic deformation were correlated to landslide density in that order. However, no clear correlation was found between landslide density and seismic ground motion. These results suggest that landslide density was greater in areas of large slope angle or fragile geology in the area with strong shaking enough to trigger landslides.",2023,12,29
Probing the mechanism of the dedicated NO sensor [4Fe-4S] NsrR: the effect of cluster ligand environment.,"NsrR from Streptomyces coelicolor is a bacterial nitric oxide (NO) sensor/nitrosative stress regulator as its primary function, and has been shown to have differential response at low, mid, and high levels of NO. These must correspond to discrete structural changes at the protein-bound [4Fe-4S] cluster in response to stepwise nitrosylation of the cluster. We have investigated the effect of the monohapto carboxylate ligand in the site differentiated [4Fe-4S] cluster cofactor of the protein NsrR on modulating its reactivity to NO with a focus on indentifying mechanistic intermediates. We have prepared a synthetic model [4Fe-4S] cluster complex with tripodal ligand and one single site differentiated site occupied by either thiolate or carboxylate ligand. We report here the mechanistic details of sequential steps of nitrosylation as observed by ESI MS and IR spectroscopy. Parallel non-denaturing mass spectrometry analyses were performed using site-differentiated variants of NsrR with the native aspartic acid, cysteine, or alanine in the position of the forth ligand to the cluster. A mono-nitrosylated synthetic [4Fe-4S] cluster was observed for the first time in a biologically-relevant thiolate-based coordination environment. Combined synthetic and protein data give unprecedented clarity in the modulation of nitrosylation of a [4Fe-4S] cluster.",2023,12,21
Effect of porcelain veneering technique in bilayered zirconia on bond strength and residual stress distribution.,"The use of all porcelain materials in dentistry has significantly increased in recent years. However, chipping has remained a common problem that affects bilayered zirconia restorations. Bonding between porcelain and the underlying zirconia framework is crucial to the success of the restoration. The bond strength may be affected by such factors as residual thermal stress and the veneering technique. This research focuses on investigating the potential and constraints of materials through an examination of the porcelain veneering technique, particularly hand-layering and heat-pressing. Forty-two cylindrical disc samples of zirconia (n = 7/group) were fabricated in the dimensions of 10 × 1.2 mm (diameter [D] × height [H]). The zirconia specimens were milled from IPS e.max® ZirCad [Z] block and Luxen Zr [L] block (n = 21/zirconia). The zirconia cores were layered with IPS e.max® Zirliner and heat-pressed with IPS e.max® ZirPress to produce a final veneer dimension of 5 × 3 mm (D × H). Conventional layering was performed for the rest of the zirconia cores using IPS e.max® Ceram and Shofu Vintage Zr. The final study groups were Luxen-Vintage (LV), Luxen-Ceram (LC), Luxen Zirpress (LP), ZirCad-Vintage (ZV), ZirCad-Ceram (ZC) and ZirCad-Zirpress (ZP). Five samples were subjected to shear bond testing (SBS) with a universal testing machine with a 5 kN load cell and 0.5 mm/min crosshead speed (n = 5/group). A sample underwent nanoindentation, and another was sectioned using Isomet machine to study the bonding interface. One-way ANOVA was used to run the statistical analyses of the SBS test. Statistical differences were found between ZV with LC and LP (p < 0.05). Residual stress is estimated to be higher in the middle of the porcelain compared with that on the surface and the interface. FESEM imaging reveals portions of visible bare zirconia on Luxen zirconia, whilst crack propagation occurred through voids in all hand-layered groups. Heat-pressed veneering showed comparable but not superior results to conventional hand-layered veneering. Heat-pressed veneering produced similar stress distribution profiles compared with hand-layered veneering.",2023,12,29
Optimization and verification of selective removal of organophosphate esters from wastewater by molecularly imprinted adsorbent.,"Tributyl phosphate (TNBP), a new type of flame retardant, is an emerging pollutant and has been frequently detected in various matrices such as wastewater. Efficient removal of TNBP is critical for wastewater treatment. In this study, molecularly imprinted polymer (MIP) was prepared using precipitation polymerization for selective adsorption of TNBP. The results showed that MIP had a porous structure and formed effective imprinting cavities, which was primarily responsible for its superior adsorption ability. The adsorption of TNBP by MIP was carried out following both the pseudo-secondary kinetic model and the Langmuir isothermal adsorption model. MIP adsorbed TNBP rapidly and reached adsorption equilibrium within 30 min with 923 μmol g<sup>-1</sup> at 298 K. The adsorption capacity and adsorption rate of MIP were respectively 2 and 5.49 times those of non-molecularly imprinted polymers. In addition, MIP could effectively counter disturbances from external parameters like temperature and pH, exhibiting strong environmental flexibility. MIP can specifically adsorb organophosphate esters, and can selectively adsorb TNBP under the interference of coexisting contaminants such as1,3-diphenylguanidine and isazofos. In actual bodies of water, MIP's highly selective adsorption of TNBP retains its advantage. The selective adsorption of MIP was mainly due to the common phosphate skeleton, and the specific substituent of organophosphate esters played an important role in the imprinting process. Hydrogen bonding might be involved in the polymerization process of TNBP with acrylamide and the adsorption process of TNBP by MIP.MIP exhibited good reuse efficiency, the total adsorption capacity decreased by no more than 25% after 7 reuse cycles. This study provides a simple and efficient method for selective removal of organophosphate from wastewater.",2023,12,31
"Ultrasound-assisted extraction of polyphenols from pine needles (Pinus elliottii): Comprehensive insights from RSM optimization, antioxidant activity, UHPLC-Q-Exactive Orbitrap MS/MS analysis and kinetic model.","Extracting polyphenolic bioactive compounds from Pinus elliottii needles, a forestry residue, promises economic and environmental benefits, however, relevant experimental data are lacking. Herein, a comprehensive investigation of the polyphenolic composition of pine needles (PNs) was carried out. Ultrasound-Assisted Extraction (UAE) was applied to extract the polyphenolic compounds of pine needles. The optimal conditions of extracts were determined by Response Surface Methodology (RSM). The maximum total phenolic content (TPC) of 40.37 mg GAE/g PNs was achieved with solid-liquid ratio of 1:20, 60 % ethanol, and 350 W for 25 min at 45 °C. Polyphenolic extracts showed antioxidant activity in scavenging free radicals and reducing power (DPPH, IC<sub>50</sub> 41.05 μg/mL; FRAP 1.09 mM Fe<sup>2+</sup>/g PNs; ABTS, IC<sub>50</sub> 214.07 μg/mL). Furthermore, the second-order kinetic model was also constructed to describe the mechanism of the UAE process, with the extraction activation energy estimated at 12.26 kJ/mol. In addition, 37 compounds in PNs were first identified by UHPLC-Q-Exactive Orbitrap MS/MS, including flavonoids and phenolic acids. The results suggest that Ultrasound-Assisted is an effective method for the extraction of natural polyphenolic compounds from pine needles and this study could serve as a foundation for utilizing phenolics derived from PNs in the food and pharmaceutical industries.",2023,12,23
Developmental Biology: from genes to functional organism - news from the 3<sup>rd</sup> Meeting of the Visegrád Group Society for Developmental Biology.,"The third meeting of the Visegrád Group Society for Developmental Biology (V4SDB) was held on September 8<sup>th</sup>-10<sup>th</sup>, 2023 in Warsaw, Poland. It was a continuation of previous meetings, the first organized in the Czech Republic in 2018 and the second in Hungary in 2021. Similarly to the previous meetings, the organizers created a friendly platform for networking and science sharing. The conference gathered an excellent group of 160 researchers working on various animal models, who during lecture and poster sessions discussed a broad range of subjects, including early embryonic development, organogenesis, genetic and epigenetic control of developmental processes, stem cells and regeneration, cellular dynamics and migration in developmental biology, and <i>in vitro</i> models in development and disease. Additionally, two satellite events were organized: the Young Developmental Biologists' Forum, which gave young researchers an opportunity to share and promote their work and to participate in hands-on courses, and an outreach initiative ""Developmental Biology for Everyone"", which presented different aspects of developmental biology to a broad audience.",2023,12,28
[Comparison of three-dimensional position of maxillary dentition model treated by two digital transfer methods].,"<b>Objective:</b> To compare and evaluate the difference in maxillary dentition position using an anatomical facebow and jaw movement analyzer. <b>Methods:</b> From March to May 2023, 15 medical interns from Yantai Stomatological Hospital were recruited, including 9 males and 6 females, aged 20-25 years. Digital models and plaster models of maxillary dentition were obtained from the 15 medical interns. The anatomical facebow group (AFB) and jaw movement analyzer group (JMA) were used to transfer the position of the maxillary dentition to the virtual articulator. The virtual occlusal articulator module of exocad denture design software was used to measure the inclination angle of the occlusal plane of the two groups, the distance between the mesio-incisal angle of the left maxillary central incisor and the lateral center point of the lateral condylar sphere of the virtual occlusal articulator, the distance between the mesial buccal cusp of the maxillary first molar and the lateral center point of the lateral condyle sphere of the virtual articulator. The same marks (mesial incisor point of left maxillary central incisor and mesial buccal cusp point of both maxillary first molars) were measured in two groups of maxillary dentition, and the root-mean-square error between 3 points was calculated. <b>Results:</b> The occlusal plane inclination angle in AFB group (9.11°±3.85°) was significantly larger than that in JMA group (4.94°±2.69°) (<i>t</i>=10.45, <i>P</i><0.001). There were significant differences between AFB and JMA groups. The distances from the mesial cusp of the left first molar to the lateral center of the left condylar, from the mesial cusp of the left maxillary central incisor to the lateral center of the left condylar[(91.75±3.05), (129.09±4.60) mm]were significantly smaller than those in the JMA group[(95.68±5.45), (132.41±5.64) mm](<i>t</i>=-4.48, <i>P</i>=0.001; <i>t</i>=-4.21, <i>P</i>=0.001). In both groups of models, the distance of the mesial cusp of the left maxillary central incisor was (8.81±2.56) mm, and the distance between mesial buccal cusp of maxillary left first molar was (7.56±2.49) mm, the distance between mesial buccal cusp of maxillary right first molar was (7.13±2.77) mm; the root mean square error was (7.93±2.94) mm. Compared with 0, the difference was statistically significant (<i>t</i>=10.45, <i>P</i><0.001). <b>Conclusions:</b> There were differences between the two methods (anatomical facebow and the jaw movement analyzer) for transferring the maxillary dentition position to the three-dimensional space position of the virtual articulator.",2023,12,29
Evaluating the diagnostic performance of Liaison® chemiluminescence assay as screening tool for detection of acute Epstein-Barr infection: A comparative study.,"The present investigation assessed the Liaison® diagnostic performance in detecting Epstein-Barr (EBV) IgM-VCA in a large patient cohort, considering age and symptomatology. VIDAS® were employed as a benchmark for acute EBV infection. The study also probed other coexisting conditions and potential cross-reactivity for error sources. A total of 1311 samples were analyzed, with notable associations found only among paediatric (kappa=0.75) and young adult (kappa=0.58) populations with compatible symptoms. ROC analysis revealed varying optimal cutoff values based on age and symptom categorizations. Logistic regression models identified age and patients from Oncology or Infectious Disease as significant factors for false positives. Potential interferences emerged with RF, ANCA, cytomegalovirus-IgM and VHS-IgM. Notably, Liaison® couldn´t distinguish EBV patients from Oncology, Haemathology or Internal Medicine. This study provides valuable insights, such as implementing ageand symptom-specific thresholds or reviewing test requests, for optimizing EBV serology in microbiology laboratories, leading to faster and more reliable responses.",2023,12,24
An efficient artificial intelligence algorithm for predicting the sensory quality of green and black teas based on the key chemical indices.,"The key components dominating the quality of green tea and black tea are still unclear. Here, we respectively produced green and black teas in March and June, and investigated the correlations between sensory quality and chemical compositions of dry teas by multivariate statistics, bioinformatics and artificial intelligence algorithm. The key chemical indices were screened out to establish tea sensory quality-prediction models based on the result of OPLS-DA and random forest, namely 4 flavonol glycosides of green tea and 8 indices of black tea (4 pigments, epigallocatechin, kaempferol-3-O-rhamnosyl-glucoside, ratios of caffeine/total catechins and epi/non-epi catechins). Compared with OPLS-DA and random forest, the support vector machine model had good sensory quality-prediction performance for both green tea and black tea (F1-score > 0.92), even based on the indices of fresh tea leaves. Our study explores the potential of artificial intelligence algorithm in classification and prediction of tea products with different sensory quality.",2023,12,31
"Esterified wheat bran: Physicochemical properties, structure and quality improvement of Chinese steamed bread during refrigerated storage.","To develop the application of wheat bran and improve the nutrition and anti-staling capacity of Chinese steamed bread (CSB), oleic acid-esterified wheat bran (OWB) was prepared by esterification of wheat bran with oleic acid, and its physicochemical properties, structure, and quality improvement for CSB during refrigerated storage were investigated. The hydrophilic-lipophilic balance value of OWB was 16.0, the maximum degree of substitution was 0.146, and its emulsifying capacity was similar to that of glycerol monostearate. The starch gelatinization degree of CSB containing 3 % OWB and the control decreased by 19.55 % and 27.12 % within 7 days of refrigerated storage, respectively, while the hardness of CSB with OWB was lower than that with wheat bran. OWB inhibited starch recrystallization and increased bound water in the corresponding CSB, which effectively delayed starch retrogradation. OWB had a positive emulsifying capacity and showed potential as a functional material for preventing retrogradation of starch-based foods.",2023,12,31
The Etiology and Outcome of Area Postrema Syndrome in Childhood: Two Cases and a Literature Review.,"Area postrema syndrome (APS), a rare childhood condition, manifests as intractable nausea and hiccups. APS has high diagnostic significance in neuromyelitis optica syndrome spectrum disorders (NMOSD) and can be the initial presentation of other critical diseases, including brainstem glioma.",2023,12,18
Development of an analytic method for organosulfur compounds in Welsh onion and its use for nutritional quality analysis of five typical varieties in China.,"A reliable, simple, and sensitive method capable of quantifying six organosulfur compounds (OSCs) was established. The samples were extracted by water containing 3 % formic acid with a simple vortex, ultrasound, and centrifugation step, and the solutions were analyzed by ultra-high-performance liquid chromatography separation system coupled with a triple-quadrupole mass spectrometry (UHPLC - MS/MS). Then the method was applied for the analysis of six OSCs in five varieties of two types Welsh onions in China, and the moisture content, reducing sugar, total polyphenols, and 21 free amino acids were also analyzed to study the characters of these Welsh onions intensively. Multivariate statistical analysis was used to investigate the differences in OSCs and free amino acids profiles among the samples. This study showed that enzymatic inhibition method combined with UHPLC - MS/MS is an effective technique to analyze OSCs in Welsh onion, and could be valuable for the routine quantitation of OSCs in other foods.",2023,12,21
"Integrating pollutant levels and biochemical biomarkers in oysters (Crassostrea rhizophorae and Crassostrea gasar) indicates anthropic impacts on marine environments along the coast of Santa Catarina state, Brazil.","This study aimed to carry out a general diagnosis of the contamination of the coastal marine environment of the Santa Catarina state (SC, Brazil) by different classes of environmental pollutants, as well as to evaluate possible adverse effects of the contaminants on biochemical biomarkers of oysters, Crassostrea gasar and Crassostrea rhizophorae. 107 chemicals were evaluated in water, sediment and oyster samples from nine sites along the coastline of SC. We also examined various biochemical biomarkers in the oysters' gills and digestive glands to assess potential effects of contaminants. In general, the northern and central regions of the littoral of SC presented higher occurrences and magnitudes of contaminants than the southern region, which is probably related to higher urbanization of center and northern areas of the littoral. The biomarker analysis in the oysters reflected these contamination patterns, with more significant alterations observed in regions with higher levels of pollutants. Our results may serve as a first baseline for future and more extensive monitoring actions and follow-up of the degree of contamination in the state, allowing for inspection actions and management of areas most affected by marine pollutants.",2023,12,20
A novel method for determination of peroxide value and acid value of extra-virgin olive oil based on fluorescence internal filtering effect correction.,"Peroxide value (PV) and acid value (AV) are widely used indicators for evaluating oxidation degree of olive oils. Fluorescence spectroscopy has been extensively studied on the detection of oil oxidation, however, the detection accuracy is limited due to internal filtering effect (IFE). Due to the primary and secondary IFE, at least two wavelengths of absorption information are required. Least squares support vector regression (LSSVR) models for PV and AV were established based on two absorption coefficients (μ<sub>a</sub>) at 375 nm and emission wavelength and one fluorescence intensity at corresponding wavelength. The regression results proved that the model based on 375 and 475 nm could reach the best performance, with the highest correlation coefficient for prediction (r<sub>p</sub>) of 0.889 and 0.960 for PV and AV respectively. Finally, the explicit formulations for PV and AV were determined by nonlinear least squares fitting, and the r<sub>p</sub> could reach above 0.94 for two indicators.",2023,12,30
Evaluation of MMP-13 and Micro RNA-138 as prognostic biomarkers for breast cancer in Egyptian women patients.,"Elevated serum levels of MMP-13 are linked to tumor growth and metastasis, while miR-138 dysregulation is observed in breast cancer cases. The aim of this study is to investigate the expression of miR-138 and MMP-13 levels as potential biomarkers for the prognosis of breast cancer.",2023,12,27
Residual effects of chlorinated organic pollutants on microbial community and natural redox processes in coastal wetlands.,"Chlorinated organic pollutants (COPs) are common in flooded environments. To examine the residual status and effects of COPs on flooded environments, a survey of 7 coastal wetlands in Zhejiang, East China was conducted. Total COP concentrations detected from 95.69 to 412.76 ng g<sup>-1</sup> dw. Gamma-HCH and o,p'-DDT posed the greatest risk with exceedance rates of 100% according to sediment quality guidelines. Samples with higher COP pollution had higher microbial diversity, more complex microbial networks, more deterministic community assembly processes and lower microbiome stability, indicating an improved soil function for balance cycle of substances, especially for COP degradation. Further analysis using quantitative real-time PCR suggested COP-dechlorination interacted with natural redox processes, especially sulfate reduction and methanogenesis. The positive correlation between CH<sub>4</sub> and pentachlorobenzene indicated a potential increase in greenhouse gas emissions caused by COP pollution. Correlation between dsr gene and COPs demonstrated the ability of sulfate-reducing bacteria to degrade COPs. Particularly, facultative OHRB such as sulfate-reducing bacteria hold significant importance in the process of COP-dechlorination. This finding provides a reference for COP pollution remediation. Collectively, our study offers new insight into the residual effect of COPs in coastal wetlands and contributes to an improved understanding of bioremediation strategies for COP pollution.",2023,12,23
"The cerium oxide nanoparticles toxicity induced physiological, histological and biochemical alterations in freshwater mussels, Unio crassus.","Releasing of cerium oxide nanoparticles (nano-CeO<sub>2</sub>) to the nature has increased due to the widespread use in many fields ranging from cosmetics to the food industry. Therefore, nano-CeO<sub>2</sub> has been included in the Organization for Economic Co-operation and Development's (OECD) priority list for engineering nanomaterials. In this study, the effects of nano-CeO<sub>2</sub> on the freshwater mussels were investigated to reveal the impact on the freshwater systems on model organism.",2023,12,20
Dual-correlate optimized coarse-fine strategy for monocular laparoscopic videos feature matching via multilevel sequential coupling feature descriptor.,"Feature matching of monocular laparoscopic videos is crucial for visualization enhancement in computer-assisted surgery, and the keys to conducting high-quality matches are accurate homography estimation, relative pose estimation, as well as sufficient matches and fast calculation. However, limited by various monocular laparoscopic imaging characteristics such as highlight noises, motion blur, texture interference and illumination variation, most exiting feature matching methods face the challenges of producing high-quality matches efficiently and sufficiently. To overcome these limitations, this paper presents a novel sequential coupling feature descriptor to extract and express multilevel feature maps efficiently, and a dual-correlate optimized coarse-fine strategy to establish dense matches in coarse level and adjust pixel-wise matches in fine level. Firstly, a novel sequential coupling swin transformer layer is designed in feature descriptor to learn and extract multilevel feature representations richly without increasing complexity. Then, a dual-correlate optimized coarse-fine strategy is proposed to match coarse feature sequences under low resolution, and the correlated fine feature sequences is optimized to refine pixel-wise matches based on coarse matching priors. Finally, the sequential coupling feature descriptor and dual-correlate optimization are merged into the Sequential Coupling Dual-Correlate Network (SeCo DC-Net) to produce high-quality matches. The evaluation is conducted on two public laparoscopic datasets: Scared and EndoSLAM, and the experimental results show the proposed network outperforms state-of-the-art methods in homography estimation, relative pose estimation, reprojection error, matching pairs number and inference runtime. The source code is publicly available at https://github.com/Iheckzza/FeatureMatching.",2023,12,22
Development of microemulgel formulations with varied permeation enhancers for transungual delivery of luliconazole in onychomycosis management.,"Luliconazole-loaded microemulgels containing different permeation enhancers were formulated for transungual drug delivery for the management of onychomycosis, onychomycosis, which affects nails. The physicochemical properties like droplet size, zeta potential, pH, viscosity, spreadability, extrudability, oil binding capacity, drug content, and microscopic study were evaluated. The Pseudo-ternary phase diagram was constructed for the formulation of microemulsions (MEs) by keeping the K<sub>m</sub> ratio constant at 3:1 and characterized for clarity, mean droplet size, zeta potential, viscosity, pH, transmittance, refractive index, and stability. The ME mean droplet size and zeta potential were found in the range of 38.78 to 171.4 nm, and 0.00 to - 6.6 mV, respectively. Prepared MEs were converted into microemulgel by adding a 2.5% gelling agent (Carbapol 934) in the external phase, and a drug release study was conducted. Formulation E3 showed better drug release and was chosen as the control. Four different penetration enhancers were added separately within E3 and further evaluated for pH, viscosity, spreadability, extrudability, oil binding capacity, drug content, microscopic study, Compatibility study, XRD, and DSC. A favorable docking score was observed between luliconazole and Lanosterol 14-alpha-demethylase. In-vitro cumulative drug release at the end of 24 h from E3-SS, containing sodium sulfide as a penetration enhancer, was found to be 94.70% and was 2 times more than the control formulation. Ex-vivo transungual permeation studies through cutting nail clippings were found to be in the range of 28.18 - 36.52 µg/mm<sup>2</sup>. The microemulgels tagged as E3, E3-SS, and E3-SL showed a significant zone of inhibition against Candida albicans and Aspergillus fumigatus as compared to the marketed formulation.",2023,12,20
Understanding the role of infusing lubricant composition in the interfacial interactions and properties of slippery surface.,"Liquid-infused surfaces (LISs) have attracted tremendous attention in recent years owing to their excellent surface properties, such as self-cleaning and anti-fouling. Understanding the effect of lubricant composition on LIS performance is of vital importance, which will help establish the criteria to choose suitable infusing lubricants for specific applications. In this work, the role of chemical composition of lubricant in the properties of LISs was investigated. The apparent water contact angle θ<sub>app</sub> was dependent on the temperature and beeswax/silicone oil ratio. Nevertheless, the trend of moving velocity of water drop on the tilted LISs did not follow that of θ<sub>app</sub> at 20 °C and 37 °C, which was attributed to the increased lubricant viscosity with beeswax/silicone oil ratio. At 60 °C, the drop velocity and θ<sub>app</sub> shared the similar variation trend with beeswax/silicone oil ratio, highlighting the significant role of chemistry of the components in beeswax. The alkanes and fatty acids promoted the drop movement, while the fatty acid esters impeded the movement. The interaction forces between water drop and lubricant surfaces were measured using atomic force microscopy. It was demonstrated that the interaction between water drop and lubricant was not the only factor to control the drop movement, while the interaction between lubricant and substrate as well as of lubricant itself also determined the movement. When the adhesions of water-lubricant and lubricant-substrate were similar for different lubricants, the influence of cohesion of lubricant became significant. This work provides useful insights into the fundamental understanding of the interfacial interactions of test drop, infusing lubricant and solid substrate of LISs, and the effect of infusing lubricant composition on the LIS performance.",2023,12,30
Molecular modulating of amylopectin's structure promoted the formation of starch-unsaturated fatty acids complexes with controlled digestibility and improved stability to oxidation.,"In this study, waxy corn starch (WCS) was modified by amylosucrase and pullulanase, producing linear starch chains with elongated length that favored the complexation with unsaturated fatty acids (uFAs). Compared to native WCS, the amylosucrase-modified WCS with an average chain length of 47.8 was easier to form V-type complexes with oleic acid, while increasing the degree of unsaturation impeded the formation of V-type complexes. The pullulanase treatment hydrolyzed the branching points of amylosucrase-modified WCS and the linear starch chains could forme V-type complexes with oleic acid, linoleic acid, and linolenic acid, with V-type crystallinity decreasing from 38.2 % to 20.1 %. V-type complexes had a lower thermal stability than the B-type starch crystallites, and their peak melting temperature ranged from 67.2 to 79.0 °C. The content of resistant starch in the complexes was in the range of 21.8 %-40.9 % and the formation of V-type complexes decreased the susceptibility of uFAs to oxygen.",2023,12,30
Antibiofilm activity of lawsone against polymicrobial enterohemorrhagic Escherichia coli O157:H7 and Candida albicans by suppression of curli production and hyphal growth.,"Most bacteria and fungi form biofilms that attach to living or abiotic surfaces. These biofilms diminish the efficacy of antimicrobial agents and contribute to chronic infections. Furthermore, multispecies biofilms composed of bacteria and fungi are often found at chronic infection sites.",2023,12,19
"A multi-collector ICP-MS method for quantification of plutonium, uranium, and americium in hair and nails of occupationally or medically exposed individuals.","The <sup>239</sup>Pu, <sup>238</sup>U, and <sup>241</sup>Am concentrations and <sup>239</sup>Pu/<sup>240</sup>Pu, <sup>235</sup>U/<sup>238</sup>U, and <sup>236</sup>U/<sup>238</sup>U atom ratios were measured in the hair and nail samples using a new method utilized TEVA, UTEVA, and DGA extraction chromatography and multi-collector ICP-MS. Samples were collected from individuals who donated their bodies to the United States Transuranium and Uranium Registries. The concentration of <sup>239</sup>Pu ranged from 0.22 to 15.8 ng/kg. The <sup>240</sup>Pu/<sup>239</sup>Pu isotopic ratios ranged from 0.026 to 0.127 which is consistent with weapons-grade plutonium. Concentration of uranium fell between 1.84 μg/kg and 29.5 μg/kg and <sup>235</sup>U/<sup>238</sup>U ratios ranged from 4.8 × 10<sup>-3</sup> to 7.6 × 10<sup>-3</sup>. Elevated <sup>236</sup>U/<sup>238</sup>U atom ratios were measured in two cases and ranged from 5.0 × 10<sup>-6</sup> - 2.4 × 10<sup>-5</sup> indicating exposure to spent or reprocessed uranium material. The concentration of <sup>241</sup>Am was measured in four hair samples and ranged from 0.02 to 0.21 ng/kg.",2023,12,28
